"","rules","support","confidence","lift","count"
"29","{berries} => {whipped/sour cream}",0.0120535714285714,0.325301204819277,4.11680620788238,27
"30","{whipped/sour cream} => {berries}",0.0120535714285714,0.152542372881356,4.11680620788238,27
"485","{other vegetables,tropical fruit} => {pip fruit}",0.0102678571428571,0.283950617283951,4.07723963279519,23
"484","{other vegetables,pip fruit} => {tropical fruit}",0.0102678571428571,0.403508771929825,3.92982456140351,23
"493","{fruit/vegetable juice,other vegetables} => {yogurt}",0.0116071428571429,0.509803921568627,3.67189962801841,26
"479","{whole milk,yogurt} => {curd}",0.0129464285714286,0.23015873015873,3.63067292644757,29
"544","{tropical fruit,yogurt} => {root vegetables}",0.0107142857142857,0.39344262295082,3.59718969555035,24
"543","{root vegetables,tropical fruit} => {yogurt}",0.0107142857142857,0.489795918367347,3.52779053743684,24
"494","{other vegetables,yogurt} => {fruit/vegetable juice}",0.0116071428571429,0.25,3.37349397590361,26
"545","{root vegetables,yogurt} => {tropical fruit}",0.0107142857142857,0.333333333333333,3.2463768115942,24
"208","{butter} => {whipped/sour cream}",0.0142857142857143,0.256,3.23977401129944,32
"209","{whipped/sour cream} => {butter}",0.0142857142857143,0.180790960451977,3.23977401129944,32
"505","{other vegetables,sausage} => {yogurt}",0.0111607142857143,0.446428571428571,3.21543408360129,25
"496","{fruit/vegetable juice,whole milk} => {yogurt}",0.0125,0.444444444444444,3.20114326545195,28
"528","{citrus fruit,root vegetables} => {other vegetables}",0.0107142857142857,0.615384615384615,3.16887709991158,24
"529","{citrus fruit,other vegetables} => {root vegetables}",0.0107142857142857,0.338028169014085,3.09054325955734,24
"547","{other vegetables,tropical fruit} => {root vegetables}",0.0120535714285714,0.333333333333333,3.04761904761905,27
"515","{tropical fruit,whole milk} => {whipped/sour cream}",0.0102678571428571,0.239583333333333,3.03201506591337,23
"470","{other vegetables,whole milk} => {frozen vegetables}",0.0102678571428571,0.141975308641975,3.02880658436214,23
"478","{curd,whole milk} => {yogurt}",0.0129464285714286,0.420289855072464,3.02716808798173,29
"497","{whole milk,yogurt} => {fruit/vegetable juice}",0.0125,0.222222222222222,2.99866131191432,28
"258","{pip fruit} => {tropical fruit}",0.0214285714285714,0.307692307692308,2.99665551839465,48
"259","{tropical fruit} => {pip fruit}",0.0214285714285714,0.208695652173913,2.99665551839465,48
"518","{root vegetables,whole milk} => {whipped/sour cream}",0.0111607142857143,0.233644859813084,2.95686150271926,25
"521","{other vegetables,yogurt} => {whipped/sour cream}",0.0107142857142857,0.230769230769231,2.92046936114733,24
"569","{whole milk,yogurt} => {root vegetables}",0.0178571428571429,0.317460317460317,2.90249433106576,40
"566","{other vegetables,yogurt} => {root vegetables}",0.0147321428571429,0.317307692307692,2.9010989010989,33
"513","{tropical fruit,whipped/sour cream} => {whole milk}",0.0102678571428571,0.741935483870968,2.87035489442309,23
"238","{curd} => {whipped/sour cream}",0.0142857142857143,0.225352112676056,2.85191374234105,32
"239","{whipped/sour cream} => {curd}",0.0142857142857143,0.180790960451977,2.85191374234105,32
"546","{root vegetables,tropical fruit} => {other vegetables}",0.0120535714285714,0.551020408163265,2.83743842364532,27
"476","{rolls/buns,whole milk} => {margarine}",0.0107142857142857,0.176470588235294,2.82352941176471,24
"578","{other vegetables,whole milk} => {root vegetables}",0.0223214285714286,0.308641975308642,2.82186948853616,50
"508","{sausage,whole milk} => {yogurt}",0.0120535714285714,0.391304347826087,2.81839787501748,27
"519","{whipped/sour cream,yogurt} => {other vegetables}",0.0107142857142857,0.545454545454545,2.80877742946708,24
"506","{other vegetables,yogurt} => {sausage}",0.0111607142857143,0.240384615384615,2.76134122287968,25
"517","{whipped/sour cream,whole milk} => {root vegetables}",0.0111607142857143,0.301204819277108,2.75387263339071,25
"527","{other vegetables,whole milk} => {whipped/sour cream}",0.015625,0.216049382716049,2.7341842784404,35
"492","{fruit/vegetable juice,yogurt} => {other vegetables}",0.0116071428571429,0.530612244897959,2.73234811165846,26
"514","{whipped/sour cream,whole milk} => {tropical fruit}",0.0102678571428571,0.27710843373494,2.69879518072289,23
"503","{rolls/buns,soda} => {sausage}",0.0102678571428571,0.23469387755102,2.6959706959707,23
"568","{root vegetables,whole milk} => {yogurt}",0.0178571428571429,0.373831775700935,2.69255041019323,40
"488","{other vegetables,whole milk} => {pip fruit}",0.0133928571428571,0.185185185185185,2.65906932573599,30
"114","{beef} => {root vegetables}",0.0160714285714286,0.290322580645161,2.65437788018433,36
"115","{root vegetables} => {beef}",0.0160714285714286,0.146938775510204,2.65437788018433,36
"74","{cream cheese } => {citrus fruit}",0.0102678571428571,0.25,2.64150943396226,23
"75","{citrus fruit} => {cream cheese }",0.0102678571428571,0.108490566037736,2.64150943396226,23
"246","{curd} => {yogurt}",0.0232142857142857,0.366197183098592,2.63756170463294,52
"247","{yogurt} => {curd}",0.0232142857142857,0.167202572347267,2.63756170463294,52
"548","{other vegetables,root vegetables} => {tropical fruit}",0.0120535714285714,0.27,2.6295652173913,27
"557","{whole milk,yogurt} => {tropical fruit}",0.0151785714285714,0.26984126984127,2.6280193236715,34
"5","{other vegetables} => {meat}",0.0120535714285714,0.0620689655172414,2.62329212752115,27
"4","{meat} => {other vegetables}",0.0120535714285714,0.509433962264151,2.62329212752114,27
"554","{other vegetables,yogurt} => {tropical fruit}",0.0125,0.269230769230769,2.62207357859532,28
"524","{whole milk,yogurt} => {whipped/sour cream}",0.0116071428571429,0.206349206349206,2.61142498430634,26
"2","{whole milk} => {baking powder}",0.0129464285714286,0.0500863557858377,2.60914969675061,29
"1","{baking powder} => {whole milk}",0.0129464285714286,0.674418604651163,2.60914969675061,29
"550","{tropical fruit,whole milk} => {root vegetables}",0.0120535714285714,0.28125,2.57142857142857,27
"556","{tropical fruit,whole milk} => {yogurt}",0.0151785714285714,0.354166666666667,2.55091103965702,34
"473","{other vegetables,whole milk} => {butter}",0.0102678571428571,0.141975308641975,2.5441975308642,23
"520","{other vegetables,whipped/sour cream} => {yogurt}",0.0107142857142857,0.352941176470588,2.5420843578589,24
"530","{other vegetables,root vegetables} => {citrus fruit}",0.0107142857142857,0.24,2.53584905660377,24
"237","{pip fruit} => {curd}",0.0111607142857143,0.16025641025641,2.5279884434814,25
"236","{curd} => {pip fruit}",0.0111607142857143,0.176056338028169,2.5279884434814,25
"504","{sausage,yogurt} => {other vegetables}",0.0111607142857143,0.490196078431373,2.52422808203741,25
"487","{pip fruit,whole milk} => {other vegetables}",0.0133928571428571,0.483870967741935,2.4916573971079,30
"553","{other vegetables,tropical fruit} => {yogurt}",0.0125,0.345679012345679,2.48977809535151,28
"483","{pip fruit,tropical fruit} => {other vegetables}",0.0102678571428571,0.479166666666667,2.46743295019157,23
"509","{whole milk,yogurt} => {sausage}",0.0120535714285714,0.214285714285714,2.46153846153846,27
"551","{root vegetables,whole milk} => {tropical fruit}",0.0120535714285714,0.252336448598131,2.45753758634701,27
"82","{white bread} => {shopping bags}",0.0102678571428571,0.247311827956989,2.45123227709582,23
"83","{shopping bags} => {white bread}",0.0102678571428571,0.101769911504425,2.45123227709582,23
"491","{other vegetables,whole milk} => {domestic eggs}",0.0116071428571429,0.160493827160494,2.445620223398,26
"212","{butter} => {root vegetables}",0.0147321428571429,0.264,2.41371428571429,33
"213","{root vegetables} => {butter}",0.0147321428571429,0.13469387755102,2.41371428571429,33
"90","{frozen vegetables} => {tropical fruit}",0.0116071428571429,0.247619047619048,2.41159420289855,26
"91","{tropical fruit} => {frozen vegetables}",0.0116071428571429,0.11304347826087,2.41159420289855,26
"577","{root vegetables,whole milk} => {other vegetables}",0.0223214285714286,0.467289719626168,2.40627349876464,50
"468","{frozen vegetables,other vegetables} => {whole milk}",0.0102678571428571,0.621621621621622,2.40489193857069,23
"565","{other vegetables,root vegetables} => {yogurt}",0.0147321428571429,0.33,2.37684887459807,33
"552","{tropical fruit,yogurt} => {other vegetables}",0.0125,0.459016393442623,2.36367062370454,28
"564","{root vegetables,yogurt} => {other vegetables}",0.0147321428571429,0.458333333333333,2.36015325670498,33
"76","{cream cheese } => {yogurt}",0.0133928571428571,0.326086956521739,2.3486648958479,30
"77","{yogurt} => {cream cheese }",0.0133928571428571,0.0964630225080386,2.3486648958479,30
"482","{other vegetables,whole milk} => {curd}",0.0107142857142857,0.148148148148148,2.33698487219614,24
"469","{frozen vegetables,whole milk} => {other vegetables}",0.0102678571428571,0.450980392156863,2.32228983547442,23
"18","{waffles} => {soda}",0.0129464285714286,0.408450704225352,2.3221562879817,29
"19","{soda} => {waffles}",0.0129464285714286,0.0736040609137056,2.3221562879817,29
"48","{dessert} => {yogurt}",0.0129464285714286,0.322222222222222,2.32082886745266,29
"49","{yogurt} => {dessert}",0.0129464285714286,0.0932475884244373,2.32082886745266,29
"100","{pork} => {whipped/sour cream}",0.0102678571428571,0.182539682539683,2.31010671688638,23
"101","{whipped/sour cream} => {pork}",0.0102678571428571,0.129943502824859,2.31010671688638,23
"516","{root vegetables,whipped/sour cream} => {whole milk}",0.0111607142857143,0.595238095238095,2.3028209556707,25
"301","{whipped/sour cream} => {fruit/vegetable juice}",0.0133928571428571,0.169491525423729,2.28711455993465,30
"300","{fruit/vegetable juice} => {whipped/sour cream}",0.0133928571428571,0.180722891566265,2.28711455993465,30
"522","{whipped/sour cream,yogurt} => {whole milk}",0.0116071428571429,0.590909090909091,2.28607316690218,26
"523","{whipped/sour cream,whole milk} => {yogurt}",0.0116071428571429,0.313253012048193,2.25622748227637,26
