Date,Orders
2018/1/1,281
2018/1/2,304
2018/1/3,292
2018/1/4,360
2018/1/5,320
2018/1/6,185
2018/1/7,300
2018/1/8,297
2018/1/9,301
2018/1/10,199
2018/1/11,210
2018/1/12,377
2018/1/13,361
2018/1/14,349
2018/1/15,400
2018/1/16,175
2018/1/17,210
2018/1/18,300
2018/1/19,160
2018/1/20,140
2018/1/21,327
2018/1/22,166
2018/1/23,280
2018/1/24,307
2018/1/25,189
2018/1/26,161
2018/1/27,99
2018/1/28,80
2018/1/29,77
2018/1/30,90
2018/1/31,132
2018/2/1,87
2018/2/2,66
2018/2/3,88
2018/2/4,92
2018/2/5,166
2018/2/6,147
2018/2/7,77
2018/2/8,147
2018/2/9,90
2018/2/10,67
2018/2/11,221
2018/2/12,110
2018/2/13,196
2018/2/14,180
2018/2/15,210
2018/2/16,201
2018/2/17,166
2018/2/18,172
2018/2/19,201
2018/2/20,188
2018/2/21,218
2018/2/22,231
2018/2/23,195
2018/2/24,201
2018/2/25,237
2018/2/26,241
2018/2/27,166
2018/2/28,232
2018/3/1,261
2018/3/2,221
2018/3/3,189
2018/3/4,161
2018/3/5,104
2018/3/6,97
2018/3/7,154
2018/3/8,92
2018/3/9,79
2018/3/10,91
2018/3/11,99
2018/3/12,94
2018/3/13,87
2018/3/14,142
2018/3/15,156
2018/3/16,143
2018/3/17,173
2018/3/18,143
2018/3/19,121
2018/3/20,101
2018/3/21,166
2018/3/22,193
2018/3/23,147
2018/3/24,177
2018/3/25,166
2018/3/26,110
2018/3/27,131
2018/3/28,96
2018/3/29,76
2018/3/30,66
2018/3/31,77
2018/4/1,172
2018/4/2,161
2018/4/3,147
2018/4/4,112
2018/4/5,94
2018/4/6,210
2018/4/7,166
2018/4/8,184
2018/4/9,210
2018/4/10,222
2018/4/11,226
2018/4/12,306
2018/4/13,187
2018/4/14,167
2018/4/15,147
2018/4/16,121
2018/4/17,110
2018/4/18,107
2018/4/19,90
2018/4/20,101
2018/4/21,116
2018/4/22,90
2018/4/23,141
2018/4/24,92
2018/4/25,153
2018/4/26,172
2018/4/27,119
2018/4/28,108
2018/4/29,100
2018/4/30,99
2018/5/1,116
2018/5/2,96
2018/5/3,60
2018/5/4,71
2018/5/5,112
2018/5/6,121
2018/5/7,113
2018/5/8,140
2018/5/9,92
2018/5/10,191
2018/5/11,99
2018/5/12,110
2018/5/13,167
2018/5/14,90
2018/5/15,90
2018/5/16,161
2018/5/17,196
2018/5/18,206
2018/5/19,301
2018/5/20,199
2018/5/21,181
2018/5/22,144
2018/5/23,171
2018/5/24,96
2018/5/25,66
2018/5/26,47
2018/5/27,150
2018/5/28,141
2018/5/29,201
